6704,2388,2434,1358,1702,3210,1260,1818,390,76,54,270,432
2388,4486,1544,654,1246,2506,1098,1178,508,32,52,406,176
2434,1544,5808,2286,1924,2596,650,2208,334,68,18,126,268
1358,654,2286,5418,1062,1346,146,2500,164,14,4,182,494
1702,1246,1924,1062,2810,1266,592,1302,264,28,12,106,70
3210,2506,2596,1346,1266,6911,1498,968,678,116,42,306,780
1260,1098,650,146,592,1498,1498,194,102,18,6,22,10
1818,1178,2208,2500,1302,968,194,4115,446,20,14,166,160
390,508,334,164,264,678,102,446,1661,62,4,78,42
76,32,68,14,28,116,18,20,62,282,4,6,4
54,52,18,4,12,42,6,14,4,4,305,2,24
270,406,126,182,106,306,22,166,78,6,2,1233,178
432,176,268,494,70,780,10,160,42,4,24,178,2778
