6704,11190,12512,12122,9514,13615,8202,10819,8365,6986,7009,7937,9482
11190,4486,10294,9904,7296,11397,5984,8601,6147,4768,4791,5719,7264
12512,10294,5808,11226,8618,12719,7306,9923,7469,6090,6113,7041,8586
12122,9904,11226,5418,8228,12329,6916,9533,7079,5700,5723,6651,8196
9514,7296,8618,8228,2810,9721,4308,6925,4471,3092,3115,4043,5588
13615,11397,12719,12329,9721,6911,8409,11026,8572,7193,7216,8144,9689
8202,5984,7306,6916,4308,8409,1498,5613,3159,1780,1803,2731,4276
10819,8601,9923,9533,6925,11026,5613,4115,5776,4397,4420,5348,6893
8365,6147,7469,7079,4471,8572,3159,5776,1661,1943,1966,2894,4439
6986,4768,6090,5700,3092,7193,1780,4397,1943,282,587,1515,3060
7009,4791,6113,5723,3115,7216,1803,4420,1966,587,305,1538,3083
7937,5719,7041,6651,4043,8144,2731,5348,2894,1515,1538,1233,4011
9482,7264,8586,8196,5588,9689,4276,6893,4439,3060,3083,4011,2778
