1072,7043,15391,16380,17372,20516,12997,6266,4390,6024,1789,15914,6886,1489
7043,5971,20290,21279,22271,25415,17896,11165,9289,10923,6688,20813,11785,6388
15391,20290,14319,29627,30619,33763,26244,19513,17637,19271,15036,29161,20133,14736
16380,21279,29627,15308,31608,34752,27233,20502,18626,20260,16025,30150,21122,15725
17372,22271,30619,31608,16300,35744,28225,21494,19618,21252,17017,31142,22114,16717
20516,25415,33763,34752,35744,19444,31369,24638,22762,24396,20161,34286,25258,19861
12997,17896,26244,27233,28225,31369,11925,17119,15243,16877,12642,26767,17739,12342
6266,11165,19513,20502,21494,24638,17119,5194,8512,10146,5911,20036,11008,5611
4390,9289,17637,18626,19618,22762,15243,8512,3318,8270,4035,18160,9132,3735
6024,10923,19271,20260,21252,24396,16877,10146,8270,4952,5669,19794,10766,5369
1789,6688,15036,16025,17017,20161,12642,5911,4035,5669,717,15559,6531,1134
15914,20813,29161,30150,31142,34286,26767,20036,18160,19794,15559,14842,20656,15259
6886,11785,20133,21122,22114,25258,17739,11008,9132,10766,6531,20656,5814,6231
1489,6388,14736,15725,16717,19861,12342,5611,3735,5369,1134,15259,6231,417
