15972,5422,568,5278,738,2518,888,620,108,610,2036,358,866,56
5422,18746,1632,7188,100,2362,572,660,54,866,2172,296,326,168
568,1632,4071,536,78,210,188,54,126,434,138,224,136,22
5278,7188,536,27280,1314,2720,662,2464,54,470,2160,492,320,80
738,100,78,1314,7363,534,112,168,22,68,270,534,232,122
2518,2362,210,2720,534,7335,264,288,46,240,402,326,138,244
888,572,188,662,112,264,5730,1520,686,1806,1230,72,196,6
620,660,54,2464,168,288,1520,6572,210,546,572,54,144,6
108,54,126,54,22,46,686,210,1368,1018,124,44,6,4
610,866,434,470,68,240,1806,546,1018,18341,2384,1760,104,28
2036,2172,138,2160,270,402,1230,572,124,2384,5343,120,102,14
358,296,224,492,534,326,72,54,44,1760,120,4990,124,38
866,326,136,320,232,138,196,144,6,104,102,124,2370,10
56,168,22,80,122,244,6,6,4,28,14,38,10,559
