1.00000000,0.14987080,0.02412060,0.05206287,0.02612482,0.01247077,0.03048780,0.01366743,0.02002356,0.02300613,0.00253165
0.14987080,1.00000000,0.08571429,0.05743825,0.01108033,0.01619433,0.07256894,0.02058319,0.01710620,0.01585728,0.00000000
0.02412060,0.08571429,1.00000000,0.04698413,0.01744820,0.09489051,0.04206501,0.00479616,0.00161681,0.00711744,0.01823708
0.05206287,0.05743825,0.04698413,1.00000000,0.10929520,0.11701557,0.05242967,0.03017833,0.05092186,0.06900212,0.01021898
0.02612482,0.01108033,0.01744820,0.10929520,1.00000000,0.10124481,0.02207506,0.00250000,0.00370370,0.04241436,0.00561798
0.01247077,0.01619433,0.09489051,0.11701557,0.10124481,1.00000000,0.00986436,0.00283688,0.00262295,0.01591512,0.00648298
0.03048780,0.07256894,0.04206501,0.05242967,0.02207506,0.00986436,1.00000000,0.10344828,0.01957586,0.02163462,0.00000000
0.01366743,0.02058319,0.00479616,0.03017833,0.00250000,0.00283688,0.10344828,1.00000000,0.01607143,0.01652893,0.00943396
0.02002356,0.01710620,0.00161681,0.05092186,0.00370370,0.00262295,0.01957586,0.01607143,1.00000000,0.08667529,0.01550388
0.02300613,0.01585728,0.00711744,0.06900212,0.04241436,0.01591512,0.02163462,0.01652893,0.08667529,1.00000000,0.03761755
0.00253165,0.00000000,0.01823708,0.01021898,0.00561798,0.00648298,0.00000000,0.00943396,0.01550388,0.03761755,1.00000000
