728,1161,995,2036,1378,1283,984,878,1698,1304,790
1161,433,700,1741,1083,988,689,583,1403,1009,495
995,700,267,1575,917,822,523,417,1237,843,329
2036,1741,1575,1308,1958,1863,1564,1458,2278,1884,1370
1378,1083,917,1958,650,1205,906,800,1620,1226,712
1283,988,822,1863,1205,555,811,705,1525,1131,617
984,689,523,1564,906,811,256,406,1226,832,318
878,583,417,1458,800,705,406,150,1120,726,212
1698,1403,1237,2278,1620,1525,1226,1120,970,1546,1032
1304,1009,843,1884,1226,1131,832,726,1546,576,638
790,495,329,1370,712,617,318,212,1032,638,62
