639,46,20,38,166,140,198,6,14,0,8,10,2,26
46,5307,96,1452,494,186,158,140,198,20,86,18,1536,14
20,96,496,96,256,34,76,22,32,0,80,10,8,4
38,1452,96,7853,1808,502,1280,396,1292,62,590,84,1612,14
166,494,256,1808,11563,1306,3814,322,2114,54,1834,282,610,64
140,186,34,502,1306,3405,2348,110,302,12,62,20,110,274
198,158,76,1280,3814,2348,11270,380,1568,58,376,108,370,584
6,140,22,396,322,110,380,2761,602,170,74,16,198,18
14,198,32,1292,2114,302,1568,602,8970,650,428,38,784,24
0,20,0,62,54,12,58,170,650,1372,10,4,84,0
8,86,80,590,1834,62,376,74,428,10,2684,118,634,2
10,18,10,84,282,20,108,16,38,4,118,456,54,0
2,1536,8,1612,610,110,370,198,784,84,634,54,4165,2
26,14,4,14,64,274,584,18,24,0,2,0,2,1397
