19193,5716,4272,2068,5058,4568,2144,3306,1986,4440,874,10796,468,964,544,2774,6710
5716,18936,2806,1966,4774,1976,5102,7272,1850,7428,460,2692,120,942,278,2416,9728
4272,2806,12114,2146,3122,1220,1658,1408,468,3484,1054,2026,208,736,226,2670,7388
2068,1966,2146,4963,832,960,694,1894,742,1856,266,792,36,122,98,560,1626
5058,4774,3122,832,20002,4090,4898,4840,3402,10470,874,2946,190,1456,2058,4942,9712
4568,1976,1220,960,4090,17716,2680,5416,3060,6930,1244,2546,320,630,620,2598,6678
2144,5102,1658,694,4898,2680,14312,5216,386,11928,432,1814,328,926,278,5010,6154
3306,7272,1408,1894,4840,5416,5216,24994,2988,21480,834,4544,102,1528,112,2496,11304
1986,1850,468,742,3402,3060,386,2988,10946,2414,1196,1076,82,124,98,1296,3234
4440,7428,3484,1856,10470,6930,11928,21480,2414,40773,560,4564,142,3810,384,3664,23330
874,460,1054,266,874,1244,432,834,1196,560,5482,540,14,168,116,782,3398
10796,2692,2026,792,2946,2546,1814,4544,1076,4564,540,13364,224,1128,338,1966,7226
468,120,208,36,190,320,328,102,82,142,14,224,1462,24,54,74,386
964,942,736,122,1456,630,926,1528,124,3810,168,1128,24,6189,162,572,6594
544,278,226,98,2058,620,278,112,98,384,116,338,54,162,2247,264,732
2774,2416,2670,560,4942,2598,5010,2496,1296,3664,782,1966,74,572,264,14468,8930
6710,9728,7388,1626,9712,6678,6154,11304,3234,23330,3398,7226,386,6594,732,8930,40324
