731,14283,8130,6664,2763,3121,2556,6306,7956,3724,14617,2006,5339,13693,4605,983
14283,13552,20951,19485,15584,15942,15377,19127,20777,16545,27438,14827,18160,26514,17426,13804
8130,20951,7399,13332,9431,9789,9224,12974,14624,10392,21285,8674,12007,20361,11273,7651
6664,19485,13332,5933,7965,8323,7758,11508,13158,8926,19819,7208,10541,18895,9807,6185
2763,15584,9431,7965,2032,4422,3857,7607,9257,5025,15918,3307,6640,14994,5906,2284
3121,15942,9789,8323,4422,2390,4215,7965,9615,5383,16276,3665,6998,15352,6264,2642
2556,15377,9224,7758,3857,4215,1825,7400,9050,4818,15711,3100,6433,14787,5699,2077
6306,19127,12974,11508,7607,7965,7400,5575,12800,8568,19461,6850,10183,18537,9449,5827
7956,20777,14624,13158,9257,9615,9050,12800,7225,10218,21111,8500,11833,20187,11099,7477
3724,16545,10392,8926,5025,5383,4818,8568,10218,2993,16879,4268,7601,15955,6867,3245
14617,27438,21285,19819,15918,16276,15711,19461,21111,16879,13886,15161,18494,26848,17760,14138
2006,14827,8674,7208,3307,3665,3100,6850,8500,4268,15161,1275,5883,14237,5149,1527
5339,18160,12007,10541,6640,6998,6433,10183,11833,7601,18494,5883,4608,17570,8482,4860
13693,26514,20361,18895,14994,15352,14787,18537,20187,15955,26848,14237,17570,12962,16836,13214
4605,17426,11273,9807,5906,6264,5699,9449,11099,6867,17760,5149,8482,16836,3874,4126
983,13804,7651,6185,2284,2642,2077,5827,7477,3245,14138,1527,4860,13214,4126,252
