1.00000000,0.04550865,0.03050431,0.06032413,0.01809627,0.00897148,0.02660407,0.00792896,0.04675716,0.00751880,0.02476568,0.00598205,0.00599363,0.01460600,0.00477742,0.00406918
0.04550865,1.00000000,0.26089447,0.18034385,0.04697125,0.05068373,0.13838850,0.17974591,0.32410839,0.04448474,0.28318391,0.01079112,0.11662996,0.17062684,0.11832893,0.00434657
0.03050431,0.26089447,1.00000000,0.19456946,0.05683385,0.04392686,0.06526453,0.05703715,0.16206236,0.01963048,0.17007282,0.02305741,0.07795453,0.10824616,0.03335403,0.00601229
0.06032413,0.18034385,0.19456946,1.00000000,0.07457627,0.01393728,0.06548079,0.01737921,0.17601459,0.01814923,0.08840002,0.01581576,0.01271227,0.04731410,0.00285510,0.01390461
0.01809627,0.04697125,0.05683385,0.07457627,1.00000000,0.10809588,0.04770547,0.02892073,0.07799503,0.03502488,0.07877874,0.00423344,0.05632530,0.07016140,0.00067728,0.00437828
0.00897148,0.05068373,0.04392686,0.01393728,0.10809588,1.00000000,0.02325030,0.02736974,0.07987520,0.03232398,0.06635537,0.00109141,0.09688482,0.09249609,0.00925926,0.00757002
0.02660407,0.13838850,0.06526453,0.06548079,0.04770547,0.02325030,1.00000000,0.04054054,0.15160221,0.00664176,0.05944879,0.00451613,0.04881082,0.02975587,0.00386033,0.00000000
0.00792896,0.17974591,0.05703715,0.01737921,0.02892073,0.02736974,0.04054054,1.00000000,0.16281250,0.18860878,0.13678639,0.00058394,0.20229795,0.19204834,0.11916605,0.00377553
0.04675716,0.32410839,0.16206236,0.17601459,0.07799503,0.07987520,0.15160221,0.16281250,1.00000000,0.10275984,0.19989579,0.00329412,0.12152455,0.11948284,0.02576809,0.01123445
0.00751880,0.04448474,0.01963048,0.01814923,0.03502488,0.03232398,0.00664176,0.18860878,0.10275984,1.00000000,0.08104746,0.00140581,0.15287462,0.10805390,0.01223242,0.00739599
0.02476568,0.28318391,0.17007282,0.08840002,0.07877874,0.06635537,0.05944879,0.13678639,0.19989579,0.08104746,1.00000000,0.03324319,0.18870985,0.25268176,0.04155405,0.01669260
0.00598205,0.01079112,0.02305741,0.01581576,0.00423344,0.00109141,0.00451613,0.00058394,0.00329412,0.00140581,0.03324319,1.00000000,0.00101989,0.01489078,0.00000000,0.00785855
0.00599363,0.11662996,0.07795453,0.01271227,0.05632530,0.09688482,0.04881082,0.20229795,0.12152455,0.15287462,0.18870985,0.00101989,1.00000000,0.12248150,0.04220703,0.00370370
0.01460600,0.17062684,0.10824616,0.04731410,0.07016140,0.09249609,0.02975587,0.19204834,0.11948284,0.10805390,0.25268176,0.01489078,0.12248150,1.00000000,0.04050843,0.00635689
0.00477742,0.11832893,0.03335403,0.00285510,0.00067728,0.00925926,0.00386033,0.11916605,0.02576809,0.01223242,0.04155405,0.00000000,0.04220703,0.04050843,1.00000000,0.00290839
0.00406918,0.00434657,0.00601229,0.01390461,0.00437828,0.00757002,0.00000000,0.00377553,0.01123445,0.00739599,0.01669260,0.00785855,0.00370370,0.00635689,0.00290839,1.00000000
