34271,21696,916,3718,2084,2230,2460,960,922,2894,1926,102
21696,30218,822,2460,1258,1274,2950,908,272,3772,1316,184
916,822,1124,104,14,22,88,8,4,480,18,4
3718,2460,104,9361,450,698,392,598,164,340,1182,26
2084,1258,14,450,4479,556,212,326,212,44,226,12
2230,1274,22,698,556,4783,530,266,270,56,432,8
2460,2950,88,392,212,530,6527,388,176,404,292,38
960,908,8,598,326,266,388,23008,12634,108,2072,540
922,272,4,164,212,270,176,12634,15033,62,1112,136
2894,3772,480,340,44,56,404,108,62,6006,130,42
1926,1316,18,1182,226,432,292,2072,1112,130,7951,52
102,184,4,26,12,8,38,540,136,42,52,743
