MSC19Mxx,0.484009,-0.356125,62
MSC20Axx,0.129877,0.240848,1072
MSC20Bxx,-0.178611,0.092911,5971
MSC20Cxx,-0.132680,-0.045777,14319
MSC20Dxx,-0.121050,0.050437,15308
MSC20Exx,-0.017503,-0.050661,16300
MSC20Fxx,-0.059601,-0.037390,19444
MSC20Gxx,-0.141585,-0.163382,11925
MSC20Hxx,-0.115443,-0.253109,5194
MSC20Jxx,0.085776,-0.176894,3318
MSC20Kxx,-0.025352,0.266680,4952
MSC20Lxx,0.500000,-0.140295,717
MSC20Mxx,0.255524,0.014865,14842
MSC20Nxx,0.271685,0.151043,5814
MSC20Pxx,-0.451033,0.050721,417
MSC22Axx,-0.209606,-0.211894,4806
MSC22Bxx,-0.317637,0.285488,591
MSC22Cxx,-0.254203,0.027926,881
MSC22Dxx,0.023228,-0.081535,4481
MSC22Exx,0.258211,-0.269888,21195
MSC22Fxx,0.500000,0.249898,472
MSC28Axx,-0.235366,-0.020895,14869
MSC28Bxx,-0.176470,-0.260789,3580
MSC28Cxx,-0.226199,0.038123,4630
MSC28Dxx,0.160355,0.500000,6058
MSC28Exx,0.477671,-0.256435,1854
MSC30Axx,-0.194248,-0.036661,1011
MSC30Bxx,-0.025427,0.098272,5242
MSC30Cxx,0.034790,-0.022130,23684
MSC30Dxx,-0.030922,0.016264,15568
MSC30Exx,-0.071190,0.068924,9862
MSC30Fxx,0.093803,-0.005522,7292
MSC30Gxx,-0.140787,0.091127,3972
MSC30Hxx,-0.076700,-0.096339,2396
MSC30Jxx,-0.203681,-0.329071,127
MSC30Kxx,0.114371,0.433266,28
MSC30Lxx,0.500000,-0.218128,72
MSC31Axx,-0.072647,0.343004,4891
MSC31Bxx,-0.167937,0.113442,5821
MSC31Cxx,-0.165817,-0.114312,4463
MSC31Dxx,-0.093598,-0.330330,955
MSC31Exx,0.500000,-0.011808,28
MSC32Axx,-0.098898,-0.035724,9635
MSC32Bxx,0.194042,-0.225808,1573
MSC32Cxx,0.065785,-0.059939,3988
MSC32Dxx,-0.108263,-0.126001,1863
MSC32Exx,-0.124781,-0.083044,2138
MSC32Fxx,-0.153753,0.074249,1645
MSC32Gxx,0.221407,0.176111,3971
MSC32Hxx,-0.043768,-0.045384,3050
MSC32Jxx,0.174445,0.156690,2244
MSC32Kxx,0.038157,-0.341358,464
MSC32Lxx,0.080340,0.071894,2457
MSC32Mxx,-0.028781,0.182380,2810
MSC32Nxx,0.051804,0.500000,408
MSC32Pxx,0.436730,-0.174790,302
MSC32Qxx,0.002708,0.137428,3276
MSC32Sxx,0.260056,-0.029875,4644
MSC32Txx,-0.200252,-0.001423,1682
MSC32Uxx,-0.285249,-0.033466,1351
MSC32Vxx,-0.187605,-0.168226,1836
MSC32Wxx,-0.294127,0.026292,1516
MSC33Bxx,-0.326602,0.099006,2785
MSC33Cxx,0.216555,0.419964,18907
MSC33Dxx,0.500000,-0.349869,3294
MSC33Exx,0.046113,0.088329,3726
MSC33Fxx,-0.436070,-0.257427,688
MSC34Axx,-0.054197,-0.061265,37141
MSC34Bxx,-0.191119,-0.079993,23416
MSC34Cxx,0.018860,-0.116961,40085
MSC34Dxx,0.113672,-0.070461,19028
MSC34Exx,-0.114786,-0.141361,9094
