2877,296,630,274,414,858,358,406,314,108,298,498,194,222,110,46,6
296,3671,718,590,1450,830,220,910,1610,86,302,928,254,156,100,24,2
630,718,8104,1404,1474,3560,1178,2862,3864,1082,548,2022,1424,208,98,34,16
274,590,1404,4559,664,1952,456,2202,2568,492,558,746,478,54,36,40,18
414,1450,1474,664,5374,1088,560,1626,3718,258,642,1324,792,184,130,266,2
858,830,3560,1952,1088,9862,1964,2532,3188,666,1250,2218,814,534,82,32,0
358,220,1178,456,560,1964,8262,4462,1644,1832,896,886,270,90,246,16,6
406,910,2862,2202,1626,2532,4462,13930,2392,2446,798,1870,2232,738,698,80,46
314,1610,3864,2568,3718,3188,1644,2392,11739,856,786,2864,2240,392,248,160,18
108,86,1082,492,258,666,1832,2446,856,3668,450,340,98,38,32,2,0
298,302,548,558,642,1250,896,798,786,450,5543,2090,210,76,42,202,0
498,928,2022,746,1324,2218,886,1870,2864,340,2090,8638,2034,304,258,104,50
194,254,1424,478,792,814,270,2232,2240,98,210,2034,4441,390,146,14,52
222,156,208,54,184,534,90,738,392,38,76,304,390,2749,316,38,34
110,100,98,36,130,82,246,698,248,32,42,258,146,316,1528,40,20
46,24,34,40,266,32,16,80,160,2,202,104,14,38,40,843,0
6,2,16,18,2,0,6,46,18,0,0,50,52,34,20,0,165
