3656,13553,7646,7095,18602,31866,47885,29255,41423,34594
13553,9897,13887,13336,24843,38107,54126,35496,47664,40835
7646,13887,3990,7429,18936,32200,48219,29589,41757,34928
7095,13336,7429,3439,18385,31649,47668,29038,41206,34377
18602,24843,18936,18385,14946,43156,59175,40545,52713,45884
31866,38107,32200,31649,43156,28210,72439,53809,65977,59148
47885,54126,48219,47668,59175,72439,44229,69828,81996,75167
29255,35496,29589,29038,40545,53809,69828,25599,63366,56537
41423,47664,41757,41206,52713,65977,81996,63366,37767,68705
34594,40835,34928,34377,45884,59148,75167,56537,68705,30938
