12368,366,2700,1970,502,22,28,14,8,120,5304,336,324,92,1072,1316,1324,726,214,1470,60,110,550
366,21748,2440,2858,1266,590,506,276,72,348,10810,656,46,556,366,436,784,1748,1188,520,342,72,172
2700,2440,32668,5018,4186,254,192,284,102,322,24632,1230,310,270,2806,2092,2418,2558,572,1554,112,40,1024
1970,2858,5018,15471,1686,100,116,244,108,570,5310,1186,86,248,1964,1478,1788,2350,1164,2418,2152,172,124
502,1266,4186,1686,14861,236,168,284,88,330,8724,1104,112,478,1164,224,1458,912,1130,844,512,58,66
22,590,254,100,236,2298,454,632,48,140,1448,628,44,232,20,24,52,60,22,32,26,6,24
28,506,192,116,168,454,2338,312,80,588,2032,740,20,72,14,14,64,52,24,12,26,4,4
14,276,284,244,284,632,312,2453,202,726,1454,918,74,144,24,28,114,16,120,48,48,8,6
8,72,102,108,88,48,80,202,1199,362,934,420,132,16,12,14,42,2,366,42,20,0,0
120,348,322,570,330,140,588,726,362,6026,3600,2374,354,358,100,146,888,66,672,740,436,268,38
5304,10810,24632,5310,8724,1448,2032,1454,934,3600,51559,10394,1784,3300,9742,7890,8108,3056,3024,3702,2452,282,1258
336,656,1230,1186,1104,628,740,918,420,2374,10394,13369,638,752,642,500,1258,584,542,568,238,122,22
324,46,310,86,112,44,20,74,132,354,1784,638,4987,82,238,60,506,68,154,88,274,112,8
92,556,270,248,478,232,72,144,16,358,3300,752,82,7487,76,178,520,80,214,162,234,30,100
1072,366,2806,1964,1164,20,14,24,12,100,9742,642,238,76,12879,3918,1680,756,852,1678,186,18,196
1316,436,2092,1478,224,24,14,28,14,146,7890,500,60,178,3918,13659,3008,538,672,1784,56,10,232
1324,784,2418,1788,1458,52,64,114,42,888,8108,1258,506,520,1680,3008,14486,436,784,914,372,64,314
726,1748,2558,2350,912,60,52,16,2,66,3056,584,68,80,756,538,436,6098,494,1386,154,78,22
214,1188,572,1164,1130,22,24,120,366,672,3024,542,154,214,852,672,784,494,5004,324,70,12,74
1470,520,1554,2418,844,32,12,48,42,740,3702,568,88,162,1678,1784,914,1386,324,10847,1518,396,188
60,342,112,2152,512,26,26,48,20,436,2452,238,274,234,186,56,372,154,70,1518,6259,440,4
110,72,40,172,58,6,4,8,0,268,282,122,112,30,18,10,64,78,12,396,440,2177,2
550,172,1024,124,66,24,4,6,0,38,1258,22,8,100,196,232,314,22,74,188,4,2,2894
