3298,7599,10823,8171,22545,39231,34368,31211,25687,11351,9959,30623,15530,41983,4638
7599,4301,11826,9174,23548,40234,35371,32214,26690,12354,10962,31626,16533,42986,5641
10823,11826,7525,12398,26772,43458,38595,35438,29914,15578,14186,34850,19757,46210,8865
8171,9174,12398,4873,24120,40806,35943,32786,27262,12926,11534,32198,17105,43558,6213
22545,23548,26772,24120,19247,55180,50317,47160,41636,27300,25908,46572,31479,57932,20587
39231,40234,43458,40806,55180,35933,67003,63846,58322,43986,42594,63258,48165,74618,37273
34368,35371,38595,35943,50317,67003,31070,58983,53459,39123,37731,58395,43302,69755,32410
31211,32214,35438,32786,47160,63846,58983,27913,50302,35966,34574,55238,40145,66598,29253
25687,26690,29914,27262,41636,58322,53459,50302,22389,30442,29050,49714,34621,61074,23729
11351,12354,15578,12926,27300,43986,39123,35966,30442,8053,14714,35378,20285,46738,9393
9959,10962,14186,11534,25908,42594,37731,34574,29050,14714,6661,33986,18893,45346,8001
30623,31626,34850,32198,46572,63258,58395,55238,49714,35378,33986,27325,39557,66010,28665
15530,16533,19757,17105,31479,48165,43302,40145,34621,20285,18893,39557,12232,50917,13572
41983,42986,46210,43558,57932,74618,69755,66598,61074,46738,45346,66010,50917,38685,40025
4638,5641,8865,6213,20587,37273,32410,29253,23729,9393,8001,28665,13572,40025,1340
