3298,778,886,86,390,1948,488,720,404,102,104,252,102,402,2
778,4301,594,112,840,1894,842,864,458,94,186,820,256,636,16
886,594,7525,384,376,5464,1554,2644,1898,268,1078,716,436,1410,36
86,112,384,4873,480,1378,840,496,610,224,164,172,134,1378,34
390,840,376,480,19247,7898,10582,6630,2816,208,552,4054,2668,3386,602
1948,1894,5464,1378,7898,35933,9836,9634,13308,1152,2720,10238,5672,11036,820
488,842,1554,840,10582,9836,31070,6972,5954,652,1228,8148,5430,8450,594
720,864,2644,496,6630,9634,6972,27913,10018,592,532,3376,1352,7718,408
404,458,1898,610,2816,13308,5954,10018,22389,3182,660,2986,1068,7498,314
102,94,268,224,208,1152,652,592,3182,8053,448,370,266,1850,242
104,186,1078,164,552,2720,1228,532,660,448,6661,1514,478,2016,60
252,820,716,172,4054,10238,8148,3376,2986,370,1514,27325,1384,9882,128
102,256,436,134,2668,5672,5430,1352,1068,266,478,1384,12232,6136,208
402,636,1410,1378,3386,11036,8450,7718,7498,1850,2016,9882,6136,38685,448
2,16,36,34,602,820,594,408,314,242,60,128,208,448,1340
