1558,2665,3925,5077,2286,1821,4362,1941,2353,3421,2851,2821,2429,2059,1767,3727,2260,2747,2299,3101,1930,2634,2432,5692,9339,5274,2456,1779,2652,2891,1913,1857,2185,4163,4908,3445,2126,2373,3990,2949,2087,2669,3100,5559,6379,7772,15910,3083,6244,7683,2710,2771,6573,4330,3688,1904,2287,6510,5278,4598,4956,4167,1708
2665,1107,3474,4626,1835,1370,3911,1490,1902,2970,2400,2370,1978,1608,1316,3276,1809,2296,1848,2650,1479,2183,1981,5241,8888,4823,2005,1328,2201,2440,1462,1406,1734,3712,4457,2994,1675,1922,3539,2498,1636,2218,2649,5108,5928,7321,15459,2632,5793,7232,2259,2320,6122,3879,3237,1453,1836,6059,4827,4147,4505,3716,1257
3925,3474,2367,5886,3095,2630,5171,2750,3162,4230,3660,3630,3238,2868,2576,4536,3069,3556,3108,3910,2739,3443,3241,6501,10148,6083,3265,2588,3461,3700,2722,2666,2994,4972,5717,4254,2935,3182,4799,3758,2896,3478,3909,6368,7188,8581,16719,3892,7053,8492,3519,3580,7382,5139,4497,2713,3096,7319,6087,5407,5765,4976,2517
5077,4626,5886,3519,4247,3782,6323,3902,4314,5382,4812,4782,4390,4020,3728,5688,4221,4708,4260,5062,3891,4595,4393,7653,11300,7235,4417,3740,4613,4852,3874,3818,4146,6124,6869,5406,4087,4334,5951,4910,4048,4630,5061,7520,8340,9733,17871,5044,8205,9644,4671,4732,8534,6291,5649,3865,4248,8471,7239,6559,6917,6128,3669
2286,1835,3095,4247,728,991,3532,1111,1523,2591,2021,1991,1599,1229,937,2897,1430,1917,1469,2271,1100,1804,1602,4862,8509,4444,1626,949,1822,2061,1083,1027,1355,3333,4078,2615,1296,1543,3160,2119,1257,1839,2270,4729,5549,6942,15080,2253,5414,6853,1880,1941,5743,3500,2858,1074,1457,5680,4448,3768,4126,3337,878
1821,1370,2630,3782,991,263,3067,646,1058,2126,1556,1526,1134,764,472,2432,965,1452,1004,1806,635,1339,1137,4397,8044,3979,1161,484,1357,1596,618,562,890,2868,3613,2150,831,1078,2695,1654,792,1374,1805,4264,5084,6477,14615,1788,4949,6388,1415,1476,5278,3035,2393,609,992,5215,3983,3303,3661,2872,413
4362,3911,5171,6323,3532,3067,2804,3187,3599,4667,4097,4067,3675,3305,3013,4973,3506,3993,3545,4347,3176,3880,3678,6938,10585,6520,3702,3025,3898,4137,3159,3103,3431,5409,6154,4691,3372,3619,5236,4195,3333,3915,4346,6805,7625,9018,17156,4329,7490,8929,3956,4017,7819,5576,4934,3150,3533,7756,6524,5844,6202,5413,2954
1941,1490,2750,3902,1111,646,3187,383,1178,2246,1676,1646,1254,884,592,2552,1085,1572,1124,1926,755,1459,1257,4517,8164,4099,1281,604,1477,1716,738,682,1010,2988,3733,2270,951,1198,2815,1774,912,1494,1925,4384,5204,6597,14735,1908,5069,6508,1535,1596,5398,3155,2513,729,1112,5335,4103,3423,3781,2992,533
2353,1902,3162,4314,1523,1058,3599,1178,795,2658,2088,2058,1666,1296,1004,2964,1497,1984,1536,2338,1167,1871,1669,4929,8576,4511,1693,1016,1889,2128,1150,1094,1422,3400,4145,2682,1363,1610,3227,2186,1324,1906,2337,4796,5616,7009,15147,2320,5481,6920,1947,2008,5810,3567,2925,1141,1524,5747,4515,3835,4193,3404,945
3421,2970,4230,5382,2591,2126,4667,2246,2658,1863,3156,3126,2734,2364,2072,4032,2565,3052,2604,3406,2235,2939,2737,5997,9644,5579,2761,2084,2957,3196,2218,2162,2490,4468,5213,3750,2431,2678,4295,3254,2392,2974,3405,5864,6684,8077,16215,3388,6549,7988,3015,3076,6878,4635,3993,2209,2592,6815,5583,4903,5261,4472,2013
2851,2400,3660,4812,2021,1556,4097,1676,2088,3156,1293,2556,2164,1794,1502,3462,1995,2482,2034,2836,1665,2369,2167,5427,9074,5009,2191,1514,2387,2626,1648,1592,1920,3898,4643,3180,1861,2108,3725,2684,1822,2404,2835,5294,6114,7507,15645,2818,5979,7418,2445,2506,6308,4065,3423,1639,2022,6245,5013,4333,4691,3902,1443
2821,2370,3630,4782,1991,1526,4067,1646,2058,3126,2556,1263,2134,1764,1472,3432,1965,2452,2004,2806,1635,2339,2137,5397,9044,4979,2161,1484,2357,2596,1618,1562,1890,3868,4613,3150,1831,2078,3695,2654,1792,2374,2805,5264,6084,7477,15615,2788,5949,7388,2415,2476,6278,4035,3393,1609,1992,6215,4983,4303,4661,3872,1413
2429,1978,3238,4390,1599,1134,3675,1254,1666,2734,2164,2134,871,1372,1080,3040,1573,2060,1612,2414,1243,1947,1745,5005,8652,4587,1769,1092,1965,2204,1226,1170,1498,3476,4221,2758,1439,1686,3303,2262,1400,1982,2413,4872,5692,7085,15223,2396,5557,6996,2023,2084,5886,3643,3001,1217,1600,5823,4591,3911,4269,3480,1021
2059,1608,2868,4020,1229,764,3305,884,1296,2364,1794,1764,1372,501,710,2670,1203,1690,1242,2044,873,1577,1375,4635,8282,4217,1399,722,1595,1834,856,800,1128,3106,3851,2388,1069,1316,2933,1892,1030,1612,2043,4502,5322,6715,14853,2026,5187,6626,1653,1714,5516,3273,2631,847,1230,5453,4221,3541,3899,3110,651
1767,1316,2576,3728,937,472,3013,592,1004,2072,1502,1472,1080,710,209,2378,911,1398,950,1752,581,1285,1083,4343,7990,3925,1107,430,1303,1542,564,508,836,2814,3559,2096,777,1024,2641,1600,738,1320,1751,4210,5030,6423,14561,1734,4895,6334,1361,1422,5224,2981,2339,555,938,5161,3929,3249,3607,2818,359
3727,3276,4536,5688,2897,2432,4973,2552,2964,4032,3462,3432,3040,2670,2378,2169,2871,3358,2910,3712,2541,3245,3043,6303,9950,5885,3067,2390,3263,3502,2524,2468,2796,4774,5519,4056,2737,2984,4601,3560,2698,3280,3711,6170,6990,8383,16521,3694,6855,8294,3321,3382,7184,4941,4299,2515,2898,7121,5889,5209,5567,4778,2319
2260,1809,3069,4221,1430,965,3506,1085,1497,2565,1995,1965,1573,1203,911,2871,702,1891,1443,2245,1074,1778,1576,4836,8483,4418,1600,923,1796,2035,1057,1001,1329,3307,4052,2589,1270,1517,3134,2093,1231,1813,2244,4703,5523,6916,15054,2227,5388,6827,1854,1915,5717,3474,2832,1048,1431,5654,4422,3742,4100,3311,852
2747,2296,3556,4708,1917,1452,3993,1572,1984,3052,2482,2452,2060,1690,1398,3358,1891,1189,1930,2732,1561,2265,2063,5323,8970,4905,2087,1410,2283,2522,1544,1488,1816,3794,4539,3076,1757,2004,3621,2580,1718,2300,2731,5190,6010,7403,15541,2714,5875,7314,2341,2402,6204,3961,3319,1535,1918,6141,4909,4229,4587,3798,1339
2299,1848,3108,4260,1469,1004,3545,1124,1536,2604,2034,2004,1612,1242,950,2910,1443,1930,741,2284,1113,1817,1615,4875,8522,4457,1639,962,1835,2074,1096,1040,1368,3346,4091,2628,1309,1556,3173,2132,1270,1852,2283,4742,5562,6955,15093,2266,5427,6866,1893,1954,5756,3513,2871,1087,1470,5693,4461,3781,4139,3350,891
3101,2650,3910,5062,2271,1806,4347,1926,2338,3406,2836,2806,2414,2044,1752,3712,2245,2732,2284,1543,1915,2619,2417,5677,9324,5259,2441,1764,2637,2876,1898,1842,2170,4148,4893,3430,2111,2358,3975,2934,2072,2654,3085,5544,6364,7757,15895,3068,6229,7668,2695,2756,6558,4315,3673,1889,2272,6495,5263,4583,4941,4152,1693
1930,1479,2739,3891,1100,635,3176,755,1167,2235,1665,1635,1243,873,581,2541,1074,1561,1113,1915,372,1448,1246,4506,8153,4088,1270,593,1466,1705,727,671,999,2977,3722,2259,940,1187,2804,1763,901,1483,1914,4373,5193,6586,14724,1897,5058,6497,1524,1585,5387,3144,2502,718,1101,5324,4092,3412,3770,2981,522
2634,2183,3443,4595,1804,1339,3880,1459,1871,2939,2369,2339,1947,1577,1285,3245,1778,2265,1817,2619,1448,1076,1950,5210,8857,4792,1974,1297,2170,2409,1431,1375,1703,3681,4426,2963,1644,1891,3508,2467,1605,2187,2618,5077,5897,7290,15428,2601,5762,7201,2228,2289,6091,3848,3206,1422,1805,6028,4796,4116,4474,3685,1226
2432,1981,3241,4393,1602,1137,3678,1257,1669,2737,2167,2137,1745,1375,1083,3043,1576,2063,1615,2417,1246,1950,874,5008,8655,4590,1772,1095,1968,2207,1229,1173,1501,3479,4224,2761,1442,1689,3306,2265,1403,1985,2416,4875,5695,7088,15226,2399,5560,6999,2026,2087,5889,3646,3004,1220,1603,5826,4594,3914,4272,3483,1024
5692,5241,6501,7653,4862,4397,6938,4517,4929,5997,5427,5397,5005,4635,4343,6303,4836,5323,4875,5677,4506,5210,5008,4134,11915,7850,5032,4355,5228,5467,4489,4433,4761,6739,7484,6021,4702,4949,6566,5525,4663,5245,5676,8135,8955,10348,18486,5659,8820,10259,5286,5347,9149,6906,6264,4480,4863,9086,7854,7174,7532,6743,4284
