9635,11208,13623,11498,11773,11280,13606,12685,11879,10099,12092,12445,10043,9937,12911,14279,11317,10986,11471,11151
11208,1573,5561,3436,3711,3218,5544,4623,3817,2037,4030,4383,1981,1875,4849,6217,3255,2924,3409,3089
13623,5561,3988,5851,6126,5633,7959,7038,6232,4452,6445,6798,4396,4290,7264,8632,5670,5339,5824,5504
11498,3436,5851,1863,4001,3508,5834,4913,4107,2327,4320,4673,2271,2165,5139,6507,3545,3214,3699,3379
11773,3711,6126,4001,2138,3783,6109,5188,4382,2602,4595,4948,2546,2440,5414,6782,3820,3489,3974,3654
11280,3218,5633,3508,3783,1645,5616,4695,3889,2109,4102,4455,2053,1947,4921,6289,3327,2996,3481,3161
13606,5544,7959,5834,6109,5616,3971,7021,6215,4435,6428,6781,4379,4273,7247,8615,5653,5322,5807,5487
12685,4623,7038,4913,5188,4695,7021,3050,5294,3514,5507,5860,3458,3352,6326,7694,4732,4401,4886,4566
11879,3817,6232,4107,4382,3889,6215,5294,2244,2708,4701,5054,2652,2546,5520,6888,3926,3595,4080,3760
10099,2037,4452,2327,2602,2109,4435,3514,2708,464,2921,3274,872,766,3740,5108,2146,1815,2300,1980
12092,4030,6445,4320,4595,4102,6428,5507,4701,2921,2457,5267,2865,2759,5733,7101,4139,3808,4293,3973
12445,4383,6798,4673,4948,4455,6781,5860,5054,3274,5267,2810,3218,3112,6086,7454,4492,4161,4646,4326
10043,1981,4396,2271,2546,2053,4379,3458,2652,872,2865,3218,408,710,3684,5052,2090,1759,2244,1924
9937,1875,4290,2165,2440,1947,4273,3352,2546,766,2759,3112,710,302,3578,4946,1984,1653,2138,1818
12911,4849,7264,5139,5414,4921,7247,6326,5520,3740,5733,6086,3684,3578,3276,7920,4958,4627,5112,4792
14279,6217,8632,6507,6782,6289,8615,7694,6888,5108,7101,7454,5052,4946,7920,4644,6326,5995,6480,6160
11317,3255,5670,3545,3820,3327,5653,4732,3926,2146,4139,4492,2090,1984,4958,6326,1682,3033,3518,3198
10986,2924,5339,3214,3489,2996,5322,4401,3595,1815,3808,4161,1759,1653,4627,5995,3033,1351,3187,2867
11471,3409,5824,3699,3974,3481,5807,4886,4080,2300,4293,4646,2244,2138,5112,6480,3518,3187,1836,3352
11151,3089,5504,3379,3654,3161,5487,4566,3760,1980,3973,4326,1924,1818,4792,6160,3198,2867,3352,1516
