9635,348,976,1272,1240,720,98,1650,148,142,246,840,36,58,396,292,1198,490,300,766
348,1573,582,86,104,22,82,102,66,66,50,32,2,66,42,626,32,44,62,38
976,582,3988,414,572,374,308,368,374,112,728,216,10,64,418,876,262,224,298,144
1272,86,414,1863,618,180,44,366,62,88,128,140,10,34,116,84,376,202,434,128
1240,104,572,618,2138,322,54,310,84,76,334,254,6,26,256,88,518,318,202,198
720,22,374,180,322,1645,128,398,90,54,248,222,18,4,428,44,426,222,144,236
98,82,308,44,54,128,3971,128,686,44,360,208,64,22,362,476,84,16,152,40
1650,102,368,366,310,398,128,3050,222,48,122,388,4,54,560,114,354,218,310,74
148,66,374,62,84,90,686,222,2244,14,468,348,26,16,496,230,62,34,48,38
142,66,112,88,76,54,44,48,14,464,138,60,0,8,28,64,42,24,10,12
246,50,728,128,334,248,360,122,468,138,2457,354,18,10,460,204,176,96,68,84
840,32,216,140,254,222,208,388,348,60,354,2810,160,8,478,142,192,84,174,38
36,2,10,10,6,18,64,4,26,0,18,160,408,8,16,16,12,0,4,18
58,66,64,34,26,4,22,54,16,8,10,8,8,302,12,16,2,4,4,0
396,42,418,116,256,428,362,560,496,28,460,478,16,12,3276,156,196,152,110,184
292,626,876,84,88,44,476,114,230,64,204,142,16,16,156,4644,40,34,104,24
1198,32,262,376,518,426,84,354,62,42,176,192,12,2,196,40,1682,222,312,568
490,44,224,202,318,222,16,218,34,24,96,84,0,4,152,34,222,1351,52,320
300,62,298,434,202,144,152,310,48,10,68,174,4,4,110,104,312,52,1836,302
766,38,144,128,198,236,40,74,38,12,84,38,18,0,184,24,568,320,302,1516
