639,5946,1135,8492,12202,4044,11909,3400,9609,2011,3323,1095,4804,2036
5946,5307,5803,13160,16870,8712,16577,8068,14277,6679,7991,5763,9472,6704
1135,5803,496,8349,12059,3901,11766,3257,9466,1868,3180,952,4661,1893
8492,13160,8349,7853,19416,11258,19123,10614,16823,9225,10537,8309,12018,9250
12202,16870,12059,19416,11563,14968,22833,14324,20533,12935,14247,12019,15728,12960
4044,8712,3901,11258,14968,3405,14675,6166,12375,4777,6089,3861,7570,4802
11909,16577,11766,19123,22833,14675,11270,14031,20240,12642,13954,11726,15435,12667
3400,8068,3257,10614,14324,6166,14031,2761,11731,4133,5445,3217,6926,4158
9609,14277,9466,16823,20533,12375,20240,11731,8970,10342,11654,9426,13135,10367
2011,6679,1868,9225,12935,4777,12642,4133,10342,1372,4056,1828,5537,2769
3323,7991,3180,10537,14247,6089,13954,5445,11654,4056,2684,3140,6849,4081
1095,5763,952,8309,12019,3861,11726,3217,9426,1828,3140,456,4621,1853
4804,9472,4661,12018,15728,7570,15435,6926,13135,5537,6849,4621,4165,5562
2036,6704,1893,9250,12960,4802,12667,4158,10367,2769,4081,1853,5562,1397
