51541,7160,7396,2990,416,310,3100,1160,1160,2076,1682,1262,904,610,134,2650,856,2314,644,1654,256,1018,494,3192,5572,2168,396,238,836,1106,386,392,390,2120,1720,1710,1440,704,2836,1176,632,1180,2432,3610,4468,7030,18624,1856,4366,5346,822,704,4298,1914,1692,558,628,5246,2826,2786,3970,2986,2644
7160,37836,5714,820,124,68,2472,602,288,826,420,282,168,180,48,736,320,1260,384,662,94,230,286,598,690,384,106,272,252,306,120,78,132,564,334,312,2044,276,936,554,386,420,312,1638,1876,836,1260,2030,520,724,472,246,1740,520,1444,1620,190,684,672,376,334,496,730
7396,5714,80330,3578,10446,4776,1938,2238,1154,886,762,1500,220,3826,22,5532,428,2264,3070,196,48,210,20,240,124,406,242,152,108,144,136,26,38,1982,460,132,924,268,96,6530,170,232,156,2368,970,466,37838,168,70,42,16,24,2422,94,304,30,30,2548,4354,478,1288,3966,114
2990,820,3578,110467,5348,870,12264,476,1286,1582,6548,1900,1764,670,92,13668,606,504,460,468,158,198,2922,412,278,812,410,208,408,322,354,128,28,642,530,194,8000,6444,336,1290,718,2848,310,6196,4958,2418,27304,198,214,42,44,56,1118,1806,48,4,28,11042,2812,4088,764,8238,154
416,124,10446,5348,26173,5144,496,514,1102,214,964,2360,326,2462,52,5686,516,234,1042,42,42,16,30,42,32,104,110,42,40,24,52,12,2,2024,570,102,580,738,42,5046,354,214,34,496,260,178,3456,26,4,4,2,4,1196,36,56,0,4,514,902,192,178,2174,6
310,68,4776,870,5144,11542,108,146,216,78,396,1456,552,1896,4,6510,238,24,18,2,0,0,2,0,6,4,30,2,8,2,2,0,2,68,22,0,144,58,14,490,70,20,4,40,14,146,1860,14,4,2,0,4,76,6,6,0,0,42,62,28,102,160,10
3100,2472,1938,12264,496,108,92636,8180,3502,18002,3372,2548,1318,686,1692,8456,4764,1258,1950,3560,110,1628,4918,674,772,3184,654,1210,974,1276,1012,232,60,800,496,42,1238,2346,584,434,452,1078,1230,2128,364,3282,5690,116,26,28,50,22,1820,800,188,8,0,524,188,168,192,7650,230
1160,602,2238,476,514,146,8180,14041,4150,3900,1172,2476,322,382,224,2366,190,1802,78,1952,10,472,262,1006,192,216,260,50,194,78,78,48,8,824,190,22,740,142,100,268,190,126,176,74,26,2212,1992,52,18,2,4,10,98,26,24,2,0,98,24,22,376,404,34
1160,288,1154,1286,1102,216,3502,4150,25207,11954,1712,6820,718,2336,428,3784,190,170,36,254,6,1336,108,264,198,190,158,16,140,54,22,34,0,506,152,20,228,418,128,492,964,350,282,50,120,556,2428,40,12,6,6,6,112,18,6,0,10,174,4,50,426,572,28
2076,826,886,1582,214,78,18002,3900,11954,54429,1270,3912,2680,2834,1874,6608,1992,326,82,2438,48,15560,802,672,1072,1932,158,8,162,66,218,102,12,430,254,64,2100,1142,4524,280,2592,4688,3130,92,62,664,1704,274,16,20,38,8,3962,196,790,2,2,150,32,52,236,2208,22
