19193,38129,31307,24156,39195,36909,33505,44187,30139,59966,24675,32557,20655,25382,21440,33661,59517
38129,18936,31050,23899,38938,36652,33248,43930,29882,59709,24418,32300,20398,25125,21183,33404,59260
31307,31050,12114,17077,32116,29830,26426,37108,23060,52887,17596,25478,13576,18303,14361,26582,52438
24156,23899,17077,4963,24965,22679,19275,29957,15909,45736,10445,18327,6425,11152,7210,19431,45287
39195,38938,32116,24965,20002,37718,34314,44996,30948,60775,25484,33366,21464,26191,22249,34470,60326
36909,36652,29830,22679,37718,17716,32028,42710,28662,58489,23198,31080,19178,23905,19963,32184,58040
33505,33248,26426,19275,34314,32028,14312,39306,25258,55085,19794,27676,15774,20501,16559,28780,54636
44187,43930,37108,29957,44996,42710,39306,24994,35940,65767,30476,38358,26456,31183,27241,39462,65318
30139,29882,23060,15909,30948,28662,25258,35940,10946,51719,16428,24310,12408,17135,13193,25414,51270
59966,59709,52887,45736,60775,58489,55085,65767,51719,40773,46255,54137,42235,46962,43020,55241,81097
24675,24418,17596,10445,25484,23198,19794,30476,16428,46255,5482,18846,6944,11671,7729,19950,45806
32557,32300,25478,18327,33366,31080,27676,38358,24310,54137,18846,13364,14826,19553,15611,27832,53688
20655,20398,13576,6425,21464,19178,15774,26456,12408,42235,6944,14826,1462,7651,3709,15930,41786
25382,25125,18303,11152,26191,23905,20501,31183,17135,46962,11671,19553,7651,6189,8436,20657,46513
21440,21183,14361,7210,22249,19963,16559,27241,13193,43020,7729,15611,3709,8436,2247,16715,42571
33661,33404,26582,19431,34470,32184,28780,39462,25414,55241,19950,27832,15930,20657,16715,14468,54792
59517,59260,52438,45287,60326,58040,54636,65318,51270,81097,45806,53688,41786,46513,42571,54792,40324
