17974,2212,5696,3206,702,72,150,452,318,66,70,242,162,346,28,24,32,18,6,8,16,18,44,2,2,238,224,14,70,20,26,8,8,32,32,0,38,80,52,40,10,52,10,64,14,40,58,76,2,2,10,0,4,8,18,6,20,10,4,16,4,2,0,2,0,2,14,14,2,4,8,4,6,4,20,14,2,12,4,2,4,2,0,0,294,12,2,12,4,6,0,10,0,10,6,0,8,8,2,8,12,0,14,30,6,8,58,60,8,6,2,6,2,0,0,0,0,0,0,0,0,2,2,0,20,68,48,28,18,48,38,54,4,16,2,32,10,4,6,0,0,4,70,0,286,104,12,32,28,202,2,6,10,16,8,22,58,22,20,30,6,10,0,0,0,18,6,0,2,0,6,0,2,2,0,0,2,2,4,0,0,0,2,0,4,2,0,0,0,2,40,42,2,18,10,184,44,60,34,10,6,4,8,6,10,0,2,80,36,10,6,2,2,10,0,88,78,50,0,2,8,184,44,0,32,40,64,178,14,54,46,6,22,10,4,14,184,0,66,20,6,2,2,0,2,0,0,0,0,90,114,26,54,8,182,10,10,0,22,22,0,16,2,12,8,2,2,4,2,0,0,10,22,20,16,46,2,2,4,0,22,0,50,8,0,18,20,0,8,2,6,2,24,14,2,26,2,36,14,4,14,22,10,2,26,46,10,2,10,12,42,0,2,0,8,0,328,198,2,60,72,128,162,40,106,10,84,36,8,20,10,20,28,0,40,0,18,6,16,6,6,0,0,10,108,18,0,6,30,10,2,18,8,10,2,12,2,12,40,12,202,6,26,12,24,24,58,34,68,72,96,8,24,10,4,28,34,72,46,22,0,38,42,440,20,60,14,156,380,4,436,112,234,26,104,302,184,248,12,24,64,10,100,134,152,62,164,96,360,114,428,428,312,126,36,4,38,66,20,64,12,36,0,8,0,12,10,64,24,6,0,16,30,10,26,42,46,18,12,10,4,0,10,108,48,30,38,18,50,22,2,2,4,10,188,16,8,30,30,30,46,10,2,12,12,2,6,208,20,182,36,574,132,90,42,188,16,274,192,138,224,162,14,238,18,30,186,152,194,152,288,274,316,52,124,140,76,54,240,210,104,82,44,190,46,136,14,44,330,60,86,48,646,250,358,542,164,86,132,92,138,182,378,36,14,12,14,614
2212,37912,1488,396,730,78,92,232,86,42,26,46,72,412,16,42,6,12,2,6,10,8,20,0,4,24,38,0,28,38,154,118,14,54,36,6,56,14,20,90,68,60,4,104,6,0,8,22,8,22,6,8,4,40,28,6,12,36,8,14,2,10,0,0,0,6,70,32,58,84,52,48,78,96,100,100,26,60,60,66,30,52,4,6,74,30,2,4,30,46,2,10,2,4,4,0,22,30,2,58,8,0,10,204,8,4,0,10,10,28,20,28,20,0,0,2,14,12,10,4,0,12,4,0,2,28,78,38,32,84,64,32,26,24,0,144,38,2,6,0,2,12,160,10,48,32,2,36,10,50,4,10,24,10,0,2,34,20,16,52,14,6,4,0,0,2,4,12,2,0,14,0,18,2,0,2,50,16,8,0,14,6,8,2,22,68,2,4,8,8,2,28,6,8,6,42,14,96,38,20,6,8,6,54,16,18,0,54,46,4,4,0,4,40,0,96,92,66,8,4,58,352,130,30,50,48,136,184,10,44,76,4,92,82,4,16,238,2,32,38,2,0,0,0,0,0,0,0,0,48,18,24,132,46,36,0,0,0,2,4,0,0,2,4,6,2,0,0,0,4,0,8,28,6,42,34,12,10,12,2,132,10,28,18,0,90,80,2,14,2,10,18,46,16,16,16,4,74,16,2,26,44,36,4,10,10,2,0,10,26,6,0,0,0,2,0,28,40,2,10,38,36,98,48,252,110,194,28,14,14,8,18,22,4,60,4,26,30,30,22,20,6,0,10,144,58,0,30,68,40,2,22,36,32,16,40,8,124,54,64,30,26,10,32,30,40,158,146,120,176,48,30,62,16,28,122,84,142,54,34,26,120,82,578,4,4,0,172,210,2,94,28,20,26,92,84,186,234,28,2,48,20,68,246,194,1102,1716,1138,2274,364,3618,1688,1144,4,94,0,80,88,12,24,28,54,4,12,0,46,8,404,42,142,14,178,104,126,112,106,208,120,188,14,70,12,364,608,186,148,188,74,350,32,18,10,0,52,1082,72,42,78,30,60,72,16,68,36,32,18,34,132,72,184,26,336,132,148,84,428,22,268,134,108,198,16,26,160,16,96,120,132,166,760,1032,388,684,18,82,74,64,108,274,480,252,70,8,108,128,522,50,160,1154,98,196,34,38,42,30,70,12,0,2,2,4,4,16,0,2,2,0,20
5696,1488,38893,2368,876,128,190,416,412,124,100,138,136,266,30,38,18,18,8,8,12,12,16,14,4,244,104,16,206,104,106,66,24,68,40,24,114,100,86,204,36,14,24,66,4,52,66,54,6,14,18,10,8,6,66,18,32,24,10,32,2,30,16,2,0,6,20,32,24,66,36,74,60,60,148,78,58,30,48,70,30,4,10,0,208,12,0,20,20,34,4,30,6,20,28,8,28,6,14,20,14,0,30,66,6,16,26,22,14,22,8,20,24,0,0,0,6,0,2,0,0,4,6,4,4,34,82,80,44,72,52,52,14,34,4,56,24,2,20,4,2,20,116,0,218,44,22,44,68,110,2,18,24,8,6,48,74,28,20,58,8,8,0,0,0,16,14,12,2,2,46,6,24,12,8,2,18,6,10,0,12,8,8,4,18,20,2,8,4,10,32,74,30,74,4,112,22,74,34,16,0,8,0,4,24,26,0,56,36,6,6,6,12,8,2,92,26,60,10,6,36,128,40,10,38,12,46,100,10,10,12,0,58,38,6,4,46,0,16,46,70,0,4,0,8,0,6,2,0,116,82,32,52,44,60,0,16,2,12,30,0,8,8,4,10,0,2,0,2,2,0,48,60,12,60,40,6,14,14,2,58,8,24,8,2,98,48,0,12,8,4,10,34,22,8,28,0,40,36,10,14,4,28,0,22,88,14,0,2,30,68,4,2,6,4,2,436,124,12,62,50,74,172,66,250,38,56,26,22,28,36,54,60,6,54,0,42,40,52,28,26,16,16,14,96,42,2,20,104,16,10,44,14,20,14,48,8,50,28,0,154,24,28,28,48,84,128,38,110,54,122,14,46,32,30,88,80,70,72,38,26,50,14,244,4,12,26,28,106,0,128,30,66,20,20,66,46,72,0,6,30,22,10,26,4,30,78,40,252,20,174,62,74,42,56,18,70,228,18,86,12,48,2,14,6,6,16,38,40,12,10,14,14,20,28,14,50,6,8,4,12,0,12,42,24,78,30,22,50,14,10,6,0,22,52,22,16,16,0,8,2,14,4,10,4,6,4,138,10,96,2,422,86,84,78,350,30,378,132,60,94,226,26,508,96,90,302,210,106,142,246,122,220,6,34,22,32,20,52,78,112,30,8,42,26,54,28,20,304,10,46,16,334,56,48,60,34,16,32,12,16,10,78,2,0,0,0,44
3206,396,2368,8319,5978,406,290,658,864,220,92,4,0,14,0,0,26,4,2,4,4,2,6,0,0,8,2,0,6,0,0,0,0,0,0,0,2,0,0,0,2,2,16,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,64,30,8,10,2,6,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,14,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,14,2,0,2,0,2,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,26,2,2,0,4,0,0,2,4,0,12,32,4,4,8,8,6,0,4,0,2,0,2,0,0,0,0,0,6,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,362,6,4,0,0,0,8,0,4,10,172,2,30,8,2,4,6,2,0,2,0,2,0,24,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,24,306,2,546,6,10,42,0,0,0,8,2,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,16,0,232,4,2,18,16,0,4,12,4,0,56,10,126,24,22,110,50,0,6,4,114,106,20,26,134,34,0,42,14,20,0,16,28,2,2,0,0,102,0,4,18,4,0,10,4,22,0,2,0,0,2,12,0,0,0,0,0
702,730,876,5978,32809,4916,4120,2616,6308,5116,202,124,90,548,36,4,340,372,168,986,484,548,744,498,180,40,40,12,124,12,4,14,6,2,0,0,6,4,6,26,14,20,386,20,0,54,22,26,0,22,80,8,286,10,14,2,12,0,4,28,4,2,16,56,0,8,38,34,2,2,2,4,2,26,8,4,2,0,0,6,32,16,0,0,56,2,32,14,6,12,4,2,2,4,14,6,22,0,2,6,30,6,16,12,2,4,290,262,268,398,2,34,12,0,0,0,4,0,0,0,0,0,0,0,168,58,18,16,128,218,6,0,0,90,12,310,48,0,20,0,0,0,6,0,40,26,2,8,78,66,6,2,8,108,0,0,2,10,4,0,2,0,0,0,0,0,0,2,0,0,6,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,6,0,4,2,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,8,0,8,2,2,0,2,4,0,2,0,4,0,4,72,2,0,0,0,0,0,0,0,0,4,6,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,6,10,0,2,2,4,6,38,6,2,12,0,4,0,2,2,0,0,0,6,2,0,0,6,2,6,2,2,4,0,0,0,92,6,2,2,12,50,26,0,0,14,0,202,38,0,24,16,14,8,2,4,0,0,178,20,24,54,92,20,20,52,2,0,2,4,4,4,0,0,2,12,8,0,6,4,0,0,2,2,0,0,0,0,0,0,0,574,44,18,8,10,10,26,8,22,16,160,10,64,4,4,16,4,30,2,2,2,6,2,26,0,0,0,6,8,0,6,28,6,0,14,4,0,0,4,0,0,0,2,0,0,180,4690,1134,10858,330,12994,190,870,38,4,0,2,10,4,14,0,0,0,0,0,6,0,2,2,0,0,2,0,0,0,0,2,0,0,0,4,0,2,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,394,8,10,2,8,0,6,20,6,2,52,0,20,4,0,2,0,4,126,208,694,344,24,42,152,702,0,80,66,20,4,2,138,76,380,12,16,284,28,1082,494,2,6,2,2,10,0,0,2,0,4,0,0,2,0,0,14
72,78,128,406,4916,11580,2246,1848,1158,1102,812,92,20,610,40,16,318,152,30,168,440,394,890,870,646,18,18,2,50,36,8,98,0,20,0,4,16,14,26,52,74,32,326,4,0,142,72,124,6,244,498,24,1330,22,66,46,94,14,20,110,24,26,92,316,6,16,16,144,22,14,4,34,26,128,32,6,32,36,0,0,316,6,0,0,56,2,278,308,88,118,8,40,14,50,120,18,168,0,14,52,54,0,10,34,2,6,268,198,192,58,60,74,32,0,0,0,0,0,0,0,0,2,0,0,1078,354,52,82,670,674,212,36,10,372,16,234,64,0,52,4,18,4,50,8,46,20,0,2,106,52,12,10,6,30,4,6,10,16,4,2,4,4,0,0,0,0,4,2,0,0,10,114,24,4,2,2,0,2,24,6,0,0,0,32,6,20,0,0,0,0,4,2,0,0,0,14,0,10,0,6,2,2,0,0,0,6,0,4,4,2,0,0,0,0,0,4,0,2,0,0,0,2,0,0,2,20,8,4,4,2,2,0,2,2,0,0,4,2,2,2,0,0,0,0,0,0,2,0,0,4,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,142,14,62,4,20,20,6,0,42,46,2,92,0,18,14,2,2,0,0,0,8,0,10,2,4,6,6,0,0,0,4,0,0,70,8,0,20,50,22,14,0,2,0,0,74,26,0,14,8,4,2,2,10,0,2,150,62,62,116,90,98,24,94,26,14,14,2,6,6,2,0,2,14,8,0,6,30,22,0,54,0,6,2,4,0,0,10,0,36,32,20,0,6,46,16,2,4,2,12,0,2,2,0,0,0,2,0,0,0,0,0,6,0,0,0,2,0,0,2,4,6,0,10,2,2,0,0,0,0,0,0,0,0,10,202,234,1550,58,414,26,240,4,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,46,6,6,2,8,0,12,2,0,2,2,0,8,2,4,0,0,2,16,26,112,16,2,2,14,6,0,6,4,10,4,6,44,62,62,10,2,22,0,36,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,92,190,290,4120,2246,12274,1146,2554,340,152,88,98,408,38,2,182,160,14,68,186,108,286,168,36,92,84,14,170,10,0,10,6,22,16,0,10,8,10,28,10,24,316,50,2,10,10,6,0,10,16,2,108,14,4,0,6,2,6,16,2,0,6,38,0,2,8,10,0,0,0,0,2,10,2,2,0,8,2,2,10,6,2,0,82,0,22,10,6,6,2,12,0,6,18,22,38,0,2,16,16,4,26,54,2,2,80,166,44,82,4,8,8,0,0,0,0,0,0,0,0,0,0,0,130,56,8,16,128,554,22,8,8,104,4,564,14,2,18,0,2,4,0,0,64,8,0,2,64,94,2,6,10,18,0,4,14,6,2,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,2,0,32,0,2,2,0,2,6,2,0,0,0,0,4,0,0,4,0,0,2,0,0,0,14,0,0,0,12,0,0,8,46,20,22,18,10,0,0,6,0,0,2,6,0,4,4,4,0,0,0,0,0,0,0,0,18,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,2,2,2,0,0,0,10,0,0,28,0,4,4,0,4,0,0,0,4,0,2,0,8,0,0,4,0,2,0,0,0,16,2,0,4,0,0,0,0,0,4,0,20,6,0,12,10,30,0,0,16,0,0,84,12,28,32,84,14,2,68,0,0,0,4,2,0,2,2,0,30,8,0,6,4,0,0,0,0,0,4,2,0,2,0,0,64,14,20,0,4,10,34,0,10,4,14,2,2,0,4,0,2,4,0,0,0,2,0,4,0,0,0,18,10,4,10,8,6,0,8,10,2,0,2,2,2,0,2,16,0,38,788,290,9614,358,750,58,820,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,108,2,0,2,0,0,2,12,6,0,8,0,0,0,0,0,0,0,8,88,262,40,0,8,20,6,0,44,6,10,2,6,18,18,34,10,8,182,32,302,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
452,232,416,658,2616,1848,1146,19717,1104,858,518,688,138,836,260,10,1174,428,56,462,790,394,762,104,46,36,76,0,12,10,2,2,6,2,12,0,0,0,14,8,2,6,36,0,2,16,16,20,0,0,62,8,56,0,100,18,122,18,16,44,8,0,16,58,0,0,4,20,0,0,0,0,8,4,0,0,2,0,4,2,2,0,0,0,488,14,52,342,62,14,0,8,4,14,28,0,82,0,12,28,346,0,10,36,0,0,344,636,84,82,18,72,52,2,0,0,0,0,0,0,0,0,0,0,222,184,12,24,228,152,4,2,24,498,10,330,610,2,164,16,20,24,10,24,530,76,2,2,450,1508,122,156,82,604,0,0,2,18,8,2,4,4,0,0,0,10,6,4,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,52,2,6,14,2,0,20,0,2,0,0,0,4,2,2,0,0,2,4,0,0,0,0,0,0,0,2,0,0,106,20,20,28,2,8,0,2,0,0,0,4,0,0,12,152,118,2,18,10,2,0,2,0,2,42,90,4,2,98,8,6,8,0,6,0,0,16,0,0,2,4,0,6,0,0,0,244,374,34,92,0,40,20,30,6,72,18,6,216,2,34,38,0,8,0,0,2,68,6,16,4,46,42,6,4,10,6,0,0,0,14,2,0,6,10,12,0,0,0,0,2,60,10,0,112,14,10,6,4,2,0,0,2552,468,574,1504,854,324,454,1392,52,16,16,16,12,6,0,0,2,18,32,2,2,6,14,2,4,2,2,4,2,0,0,6,0,560,82,8,70,42,72,102,6,38,28,72,22,64,16,16,56,12,126,58,2,8,34,28,54,0,0,0,46,20,0,56,74,2,8,62,2,0,4,0,2,2,0,0,10,0,16,76,244,614,70,2394,156,76,12,0,0,0,2,2,2,0,0,0,0,0,0,0,4,0,2,0,2,0,2,4,0,12,4,0,0,6,0,0,16,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,0,0,0,0,0,0,0,2,0,4,0,164,6,2,6,10,0,6,2,2,2,4,0,12,0,2,2,0,22,1438,1060,712,1490,32,28,74,28,10,52,80,24,2,18,242,128,482,22,70,218,12,112,1032,0,0,4,4,4,0,0,2,2,0,0,0,0,0,0,0
318,86,412,864,6308,1158,2554,1104,8538,914,430,36,6,98,58,2,82,64,4,164,74,108,44,32,12,40,18,4,24,10,0,0,0,4,2,0,2,6,12,2,2,6,134,6,0,38,22,16,2,6,44,0,46,8,52,6,30,6,18,24,6,6,14,26,0,0,18,18,0,0,2,0,4,2,2,0,0,0,2,0,8,20,0,0,42,0,6,4,2,4,0,2,0,0,2,0,2,0,0,4,4,0,2,6,0,0,194,286,94,260,0,60,6,14,2,0,6,0,0,0,0,0,0,0,18,6,2,0,4,12,2,0,0,46,2,34,8,0,4,0,4,2,0,0,154,18,4,0,270,74,4,14,8,28,4,4,8,12,6,0,8,2,2,0,0,0,2,0,0,0,6,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,30,4,0,0,0,0,6,0,2,0,0,0,2,4,0,2,0,0,0,0,10,4,14,0,0,0,10,0,0,18,8,2,2,2,12,0,0,4,0,0,0,2,0,0,2,4,0,0,2,2,0,0,0,0,32,10,4,4,8,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,62,32,10,12,18,4,10,6,0,20,8,8,200,0,20,20,0,4,0,2,0,62,18,8,4,64,4,0,0,0,0,0,0,0,24,0,0,0,6,14,8,0,0,6,0,66,6,0,14,2,0,0,0,4,4,0,152,66,72,104,244,24,6,64,4,6,2,4,2,6,0,0,4,2,10,0,0,2,0,2,10,0,2,2,0,0,0,0,0,40,12,6,0,4,4,8,0,8,2,4,0,6,0,0,0,0,2,0,0,0,0,0,6,0,0,0,4,10,0,4,10,0,6,2,2,0,0,0,0,0,0,0,2,0,8,540,66,1928,28,754,22,152,4,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,72,2,4,2,4,0,2,0,0,0,6,0,4,0,0,0,0,2,2,26,110,32,0,0,4,6,0,6,4,0,0,0,2,4,6,0,2,40,6,44,4,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
66,42,124,220,5116,1102,340,858,914,7545,56,52,40,132,2,8,452,600,1066,2026,1102,1392,770,608,256,8,4,2,0,4,0,0,0,2,2,0,0,0,0,6,2,4,10,2,0,4,4,0,0,0,4,4,8,0,20,4,4,0,0,10,2,8,10,16,2,2,0,12,2,0,0,0,10,0,0,0,0,4,0,0,4,0,0,4,44,2,8,16,2,6,0,0,0,2,8,2,10,0,4,12,34,0,10,4,2,2,450,968,384,480,16,220,26,2,0,0,10,0,0,0,0,0,0,0,6,50,6,2,10,2,14,2,2,16,24,108,78,0,34,2,2,6,0,0,0,4,0,0,8,134,48,20,16,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,4,0,0,0,4,0,6,8,0,0,0,0,0,0,0,0,2,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,82,14,0,12,2,2,0,104,18,36,6,0,8,4,2,4,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,12,2,0,0,6,2,0,2,0,18,0,4,2,2,10,6,8,0,0,0,6,0,112,54,28,56,82,16,12,62,0,0,8,2,0,2,0,0,2,8,0,0,0,2,0,2,14,0,0,0,0,0,0,0,0,76,58,4,2,2,10,12,2,12,4,2,0,0,0,0,0,0,4,2,2,2,2,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,2,0,2,4,238,118,894,26,410,14,70,10,2,0,0,2,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1788,14,16,8,22,0,6,2,0,0,4,0,8,2,0,0,2,0,16,18,72,28,2,4,22,2,0,20,8,0,0,4,20,12,14,2,4,34,12,446,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
