484,728,788,911,614,644,685,621,729,746,865,551,508,507,508,1186
728,244,548,671,374,404,445,381,489,506,625,311,268,267,268,946
788,548,304,731,434,464,505,441,549,566,685,371,328,327,328,1006
911,671,731,427,557,587,628,564,672,689,808,494,451,450,451,1129
614,374,434,557,130,290,331,267,375,392,511,197,154,153,154,832
644,404,464,587,290,160,361,297,405,422,541,227,184,183,184,862
685,445,505,628,331,361,201,338,446,463,582,268,225,224,225,903
621,381,441,564,267,297,338,137,382,399,518,204,161,160,161,839
729,489,549,672,375,405,446,382,245,507,626,312,269,268,269,947
746,506,566,689,392,422,463,399,507,262,643,329,286,285,286,964
865,625,685,808,511,541,582,518,626,643,381,448,405,404,405,1083
551,311,371,494,197,227,268,204,312,329,448,67,91,90,91,769
508,268,328,451,154,184,225,161,269,286,405,91,24,47,48,726
507,267,327,450,153,183,224,160,268,285,404,90,47,23,47,725
508,268,328,451,154,184,225,161,269,286,405,91,48,47,24,726
1186,946,1006,1129,832,862,903,839,947,964,1083,769,726,725,726,702
