484,30,32,40,24,26,28,10,4,24,20,4,2,0,0,34
30,244,56,72,10,8,4,2,2,16,8,0,2,2,2,22
32,56,304,154,18,8,10,8,2,0,2,0,2,0,0,48
40,72,154,427,34,14,28,0,20,26,16,2,0,2,10,78
24,10,18,34,130,10,8,2,8,14,8,2,6,0,4,6
26,8,8,14,10,160,32,14,36,22,10,4,2,0,0,10
28,4,10,28,8,32,201,22,42,18,22,0,2,0,2,20
10,2,8,0,2,14,22,137,32,18,6,2,2,0,0,14
4,2,2,20,8,36,42,32,245,28,20,14,2,0,2,34
24,16,0,26,14,22,18,18,28,262,32,8,2,2,2,18
20,8,2,16,8,10,22,6,20,32,381,14,6,2,4,24
4,0,0,2,2,4,0,2,14,8,14,67,2,2,0,4
2,2,2,0,6,2,2,2,2,2,6,2,24,4,4,4
0,2,0,2,0,0,0,0,0,2,2,2,4,23,4,8
0,2,0,10,4,0,2,0,2,2,4,0,4,4,24,22
34,22,48,78,6,10,20,14,34,18,24,4,4,8,22,702
