34271,64489,35395,43632,38750,39054,40798,57279,49304,40277,42222,35014
64489,30218,31342,39579,34697,35001,36745,53226,45251,36224,38169,30961
35395,31342,1124,10485,5603,5907,7651,24132,16157,7130,9075,1867
43632,39579,10485,9361,13840,14144,15888,32369,24394,15367,17312,10104
38750,34697,5603,13840,4479,9262,11006,27487,19512,10485,12430,5222
39054,35001,5907,14144,9262,4783,11310,27791,19816,10789,12734,5526
40798,36745,7651,15888,11006,11310,6527,29535,21560,12533,14478,7270
57279,53226,24132,32369,27487,27791,29535,23008,38041,29014,30959,23751
49304,45251,16157,24394,19512,19816,21560,38041,15033,21039,22984,15776
40277,36224,7130,15367,10485,10789,12533,29014,21039,6006,13957,6749
42222,38169,9075,17312,12430,12734,14478,30959,22984,13957,7951,8694
35014,30961,1867,10104,5222,5526,7270,23751,15776,6749,8694,743
