37141,7822,16666,7464,4342,478,4286,914,4102,3070,2376,142
7822,23416,4724,1066,4222,60,1530,148,990,5570,300,340
16666,4724,40085,12666,4348,782,1978,1032,6772,1114,1318,180
7464,1066,12666,19028,1888,742,1650,994,2728,328,272,98
4342,4222,4348,1888,9094,168,422,152,778,806,738,0
478,60,782,742,168,2509,212,46,324,80,8,0
4286,1530,1978,1650,422,212,9130,222,1474,492,102,14
914,148,1032,994,152,46,222,3025,350,18,6,10
4102,990,6772,2728,778,324,1474,350,23879,306,160,328
3070,5570,1114,328,806,80,492,18,306,10198,372,12
2376,300,1318,272,738,8,102,6,160,372,5062,0
142,340,180,98,0,0,14,10,328,12,0,576
