55266,7730,7858,3256,436,332,3334,1216,1224,2274,1848,1340,976,666,156,2784,908,2504,686,1764,274,1116,546,3330,5904,2370,422,242,846,1166,410,432,404,2248,1834,1806,1558,750,3072,1234,668,1264,2532,3842,4860,7776,20282,1974,4556,5924,936,786,4748,2052,1908,648,700,5596,3152,3016,4160,3306,3560
7730,39495,6018,850,138,70,2584,630,302,898,472,292,168,192,50,754,332,1328,406,690,98,260,296,626,760,450,110,278,266,322,124,82,136,608,364,334,2142,292,1020,586,404,458,334,1720,1980,880,1370,2092,548,796,514,256,1950,552,1646,1702,206,712,728,410,354,542,896
7858,6018,84763,3810,11172,5004,2050,2354,1216,974,802,1562,228,4038,34,5800,474,2390,3200,212,48,242,22,266,128,476,258,166,112,148,138,26,42,2094,502,146,964,302,114,7024,178,244,166,2454,1026,484,40192,178,72,44,16,30,2572,100,360,56,34,2660,4762,522,1404,4062,154
3256,850,3810,120017,5690,918,13458,514,1634,1852,7344,2194,1930,726,100,14882,680,564,498,520,194,230,3216,476,314,984,444,236,434,358,382,134,34,750,618,210,8334,6988,374,1410,790,3104,342,6864,5250,2704,29562,212,224,44,50,60,1266,2026,60,4,36,11728,3204,4518,874,8724,222
436,138,11172,5690,27604,5348,548,530,1156,236,1034,2506,346,2632,58,5930,536,256,1096,46,42,16,32,48,36,118,120,42,40,28,52,14,6,2086,608,110,598,786,46,5400,372,238,36,542,270,186,3706,26,4,4,2,4,1278,42,62,0,4,540,960,204,182,2316,8
332,70,5004,918,5348,12015,120,158,236,100,420,1552,594,1980,6,6828,244,26,22,2,0,0,2,0,8,4,34,2,8,2,2,4,2,70,26,0,144,66,18,524,74,22,6,44,14,152,1916,14,4,2,0,4,88,8,6,0,0,48,64,30,106,170,10
3334,2584,2050,13458,548,120,98884,8530,3730,19428,3680,2708,1408,730,1806,9060,5174,1384,2108,3798,130,1732,5500,728,838,3504,696,1328,1054,1422,1062,264,62,870,556,44,1332,2522,706,464,480,1146,1308,2312,390,3474,5986,130,26,32,60,22,1984,840,230,12,0,548,208,180,202,8184,346
1216,630,2354,514,530,158,8530,14696,4300,4076,1240,2568,348,392,232,2474,194,1862,78,2028,10,494,284,1042,196,236,288,52,198,90,84,54,8,864,208,22,782,162,112,280,196,134,182,84,28,2286,2072,58,20,4,4,10,114,30,32,2,0,108,24,24,386,440,62
1224,302,1216,1634,1156,236,3730,4300,26940,12762,1812,7296,808,2486,482,4002,218,186,38,268,6,1402,128,284,212,216,172,18,156,54,26,44,4,540,174,20,242,474,164,528,1018,396,296,56,126,616,2550,44,14,6,6,6,138,22,10,0,12,198,6,60,440,628,36
2274,898,974,1852,236,100,19428,4076,12762,58708,1418,4308,2932,3150,2088,7158,2168,378,92,2602,60,16484,898,742,1166,2162,164,8,184,80,228,114,14,492,290,70,2192,1356,5106,322,2816,5000,3352,106,72,758,1816,326,16,26,44,8,4586,254,906,4,2,174,46,62,246,2406,32
1848,472,802,7344,1034,420,3680,1240,1812,1418,44619,4102,1394,540,94,3956,574,1424,208,1246,98,314,864,2622,972,854,698,194,814,914,146,254,290,1852,4792,756,1556,830,1378,188,172,284,502,3786,3324,16282,2392,658,886,182,260,44,2258,1158,510,12,60,2592,606,902,7980,1454,162
1340,292,1562,2194,2506,1552,2708,2568,7296,4308,4102,46624,10860,7826,1376,16652,1020,40,34,122,6,474,236,94,198,274,134,34,34,24,172,20,12,2416,850,20,406,188,670,558,1386,1114,954,110,14,102,1068,54,4,0,0,0,3112,226,74,2,0,48,14,16,230,294,14
976,168,228,1930,346,594,1408,348,808,2932,1394,10860,32436,1652,292,6604,6328,30,36,236,10,1074,1242,534,1646,2734,310,14,28,46,388,42,14,3070,698,62,586,156,3722,72,776,1590,2996,278,102,98,382,450,24,54,50,20,14236,1706,688,8,0,78,28,290,354,106,2
666,192,4038,726,2632,1980,730,392,2486,3150,540,7826,1652,20769,1542,4302,766,58,156,26,10,436,14,32,106,146,12,14,28,4,72,4,2,1704,182,22,198,148,496,3976,5958,2026,856,100,26,36,3128,40,12,2,2,2,990,28,68,0,0,42,130,80,242,140,2
