935,252,76,202,160,32,90,60,88,34,92,70,44,62,16,4
252,3325,266,560,546,222,262,74,148,40,380,124,52,144,52,6
76,266,982,90,256,50,132,60,104,294,84,142,34,444,10,0
202,560,90,3256,432,242,1164,82,692,150,298,856,512,152,24,20
160,546,256,432,6997,354,268,212,382,110,570,354,120,812,46,4
32,222,50,242,354,1440,70,72,256,60,132,248,24,86,2,0
90,262,132,1164,268,70,5753,96,2536,830,876,1854,1342,222,62,42
60,74,60,82,212,72,96,812,32,16,92,52,10,64,0,0
88,148,104,692,382,256,2536,32,5000,162,710,1990,1170,78,28,36
34,40,294,150,110,60,830,16,162,5346,328,828,334,82,176,8
92,380,84,298,570,132,876,92,710,328,1656,246,274,90,2,2
70,124,142,856,354,248,1854,52,1990,828,246,2717,392,98,24,26
44,52,34,512,120,24,1342,10,1170,334,274,392,1594,70,38,6
62,144,444,152,812,86,222,64,78,82,90,98,70,1716,12,0
16,52,10,24,46,2,62,0,28,176,2,24,38,12,312,6
4,6,0,20,4,0,42,0,36,8,2,26,6,0,6,99
