37141,60557,77226,56169,46235,39650,46271,40166,61020,47339,42203,37717
60557,23416,63501,42444,32510,25925,32546,26441,47295,33614,28478,23992
77226,63501,40085,59113,49179,42594,49215,43110,63964,50283,45147,40661
56169,42444,59113,19028,28122,21537,28158,22053,42907,29226,24090,19604
46235,32510,49179,28122,9094,11603,18224,12119,32973,19292,14156,9670
39650,25925,42594,21537,11603,2509,11639,5534,26388,12707,7571,3085
46271,32546,49215,28158,18224,11639,9130,12155,33009,19328,14192,9706
40166,26441,43110,22053,12119,5534,12155,3025,26904,13223,8087,3601
61020,47295,63964,42907,32973,26388,33009,26904,23879,34077,28941,24455
47339,33614,50283,29226,19292,12707,19328,13223,34077,10198,15260,10774
42203,28478,45147,24090,14156,7571,14192,8087,28941,15260,5062,5638
37717,23992,40661,19604,9670,3085,9706,3601,24455,10774,5638,576
