1.00000000,0.03379326,0.00993984,0.01071177,0.02838404,0.01393335,0.01232119,0.00430696,0.00695266,0.00537665
0.03379326,1.00000000,0.01080147,0.01754649,0.08557743,0.12863778,0.09001219,0.03296146,0.04183451,0.01586874
0.00993984,0.01080147,1.00000000,0.03419034,0.03696662,0.04260870,0.01559551,0.00135185,0.01623680,0.01477325
0.01071177,0.01754649,0.03419034,1.00000000,0.01936361,0.02293911,0.03201309,0.00337489,0.00902781,0.01122844
0.02838404,0.08557743,0.03696662,0.01936361,1.00000000,0.09968486,0.08047317,0.01795536,0.03539924,0.03874989
0.01393335,0.12863778,0.04260870,0.02293911,0.09968486,1.00000000,0.22700479,0.05460053,0.13371326,0.08341787
0.01232119,0.09001219,0.01559551,0.03201309,0.08047317,0.22700479,1.00000000,0.14518531,0.19852188,0.09395080
0.00430696,0.03296146,0.00135185,0.00337489,0.01795536,0.05460053,0.14518531,1.00000000,0.13546697,0.02971505
0.00695266,0.04183451,0.01623680,0.00902781,0.03539924,0.13371326,0.19852188,0.13546697,1.00000000,0.12884070
0.00537665,0.01586874,0.01477325,0.01122844,0.03874989,0.08341787,0.09395080,0.02971505,0.12884070,1.00000000
